zipcode,daily commute time,violent_crime_index,property_crime_index,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,average score,teacher student ratio,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,36.06,23.8,81.7,9.25,10.99,74.17,3.66,0.7,1.23
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,30.88,21.1,73.2,23.42,18.42,41.05,5.53,4.47,7.11
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,31.16,24.7,81.3,8.42,22.39,56.23,6.4,1.01,5.55
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,10.78,24.6,85.1,10.81,4.05,81.08,1.35,2.7,0.01
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,32.28,23.5,76.5,12.16,18.87,60.22,3.24,1.5,4.01
90745,26,32.7,38.6,"71,757","57,219",36.4,8.1,7.1,35.7,43.2,5.9,63.4,22.5,67.3,7.71,24.07,56.07,6.54,3.27,2.34
90746,29,27.7,32.8,"75,031","26,852",40.3,4.8,54,7.5,23.6,10.1,33.15,23.7,77.3,81.68,1.47,15.38,0.92,0.37,0.18
90746,29,27.7,32.8,"75,031","26,852",40.3,4.8,54,7.5,23.6,10.1,9.34,22.2,82.4,82.43,1.35,13.06,0.9,1.35,0.91
90746,29,27.7,32.8,"75,031","26,852",40.3,4.8,54,7.5,23.6,10.1,40.5,21.6,82.2,80.86,0.99,12.87,2.64,1.98,0.66
90746,29,27.7,32.8,"75,031","26,852",40.3,4.8,54,7.5,23.6,10.1,25.68,16.6,88.2,45.48,2.04,50.68,0.23,1.13,0.44
90746,29,27.7,32.8,"75,031","26,852",40.3,4.8,54,7.5,23.6,10.1,18.3,18.6,71.3,75.99,2.87,15.41,1.43,2.51,1.79
91384,31,21.2,26.3,"102,273","29,283",32.7,44.6,6.1,6.2,37.3,5.8,73.77,25.5,12.9,3.13,13.7,27.59,51.27,3.72,0.59
91384,31,21.2,26.3,"102,273","29,283",32.7,44.6,6.1,6.2,37.3,5.8,70.22,23.2,26.5,2.77,9.17,42.04,42.39,3.46,0.17
91384,31,21.2,26.3,"102,273","29,283",32.7,44.6,6.1,6.2,37.3,5.8,59.77,28,33.7,1.94,3.88,51.5,39.68,3,0
91384,31,21.2,26.3,"102,273","29,283",32.7,44.6,6.1,6.2,37.3,5.8,75.05,27.7,36.4,1.56,3.81,46.1,44.19,3.99,0.35
91384,31,21.2,26.3,"102,273","29,283",32.7,44.6,6.1,6.2,37.3,5.8,44.05,21.7,19.1,2.39,1.82,28.78,55.4,11.26,0.35
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,15.16,52.2,53.6,4.35,7.25,78.26,8.7,1.45,0
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,85.88,26.4,33,9.7,43.94,33.33,7.42,4.55,1.06
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,95.23,27,28.6,8.4,58.69,24.36,5.56,2.42,0.57
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,89.31,27.3,43.9,13.38,30.89,44.9,7.8,1.91,1.12
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,95.85,27.9,16.2,5.07,64.83,17.14,6.56,5.07,1.33
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,94.65,25.4,28.6,6.7,59.45,24.13,6.47,2.71,0.54
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,85.91,27.9,49.2,8.41,35.78,34.88,15.21,4.11,1.61
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,75.12,24.1,53.3,15.8,28.23,45.91,7.13,1.68,1.25
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,97.79,25.4,18.3,3.94,73.54,14.96,6.61,0.63,0.32
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,59.04,23.7,65.1,12.32,21.51,51.47,10.11,2.39,2.2
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,42.88,22.8,75.8,13.12,15.16,64.72,4.96,1.46,0.58
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,97.98,26.5,16.3,4.99,67.25,16.71,5.66,4.99,0.4
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,81.02,26.8,29.7,10.82,38.43,34.45,10.32,5.72,0.26
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,88.09,27.2,26.1,6.73,52.45,31.5,6.73,2.14,0.45
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,78.59,25.8,39.8,9.65,40.12,38.16,8.3,3.02,0.75
